127.0.0.1 - - [18/Jun/2022:13:46:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:46:33 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:46:33 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:02:19 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:02:19 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:09 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:23 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:27 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:10:28 +0530] "GET /ORS_Project4/doc/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:13:51 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:14:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:14:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:15:31 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:36:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:37:16 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:09 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:18 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:47 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:38:52 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:39:29 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:39:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:39:37 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [18/Jun/2022:14:39:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:48 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:48 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:52 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:37:58 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [18/Jun/2022:15:38:16 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2505
