127.0.0.1 - - [04/Jul/2022:14:11:01 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:11:05 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:11:05 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:11:05 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:12:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:12:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:13:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:13:45 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:14:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:27:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:27:18 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:27:44 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:27:50 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:31:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:34:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:35:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:43:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:14:43:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:09:40 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:09:44 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:11:48 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:25:33 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:43 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:43 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:48 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:48 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:54 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:31:56 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:32:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:32:02 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [04/Jul/2022:15:32:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
